"id","sire","dam","LLRdam","LLRsire","LLRpair","OHdam","OHsire","MEpair","SEQ.off","Second.DNA_Code.off","Batch.Code.off","Adipose_Fin.off","CWT_Snout.off","CWT_Dorsal.off","CWT_Peduncle.off","Applied.PIT.off","Recaptured.PIT.off","Year.off","Date.off","Site.off","Species.off","Species_Source.off","Run.off","Run_Source.off","Origin.off","Origin_Source.off","Sex_Field.off","Sex_Final.off","Fork.off","POH.off","Weight.off","Fat_Content_.Field..off","Estimated.Fat.off","Age.off","Age_Source.off","Stock.off","FishSampling_Notes.off","Handling_Status.off","Final_Status.off","Assigned_Major_Spawning_Aggregate.off","Last_Detection_Stream.off","Last_Detection_Stream.Location.off","Final_Location_Determined_from_Last_Detection_Method.off","Location_Notes.off","Origin_ped.off","Final_Status_ped.off","X.snp.off","GRun.snp.off","X.ms.off","GRun.ms.off","GRun.off","noff.off","potpar.off","SEQ.dam","Second.DNA_Code.dam","Batch.Code.dam","Adipose_Fin.dam","CWT_Snout.dam","CWT_Dorsal.dam","CWT_Peduncle.dam","Applied.PIT.dam","Recaptured.PIT.dam","Year.dam","Date.dam","Site.dam","Species.dam","Species_Source.dam","Run.dam","Run_Source.dam","Origin.dam","Origin_Source.dam","Sex_Field.dam","Sex_Final.dam","Fork.dam","POH.dam","Weight.dam","Fat_Content_.Field..dam","Estimated.Fat.dam","Age.dam","Age_Source.dam","Stock.dam","FishSampling_Notes.dam","Handling_Status.dam","Final_Status.dam","Assigned_Major_Spawning_Aggregate.dam","Last_Detection_Stream.dam","Last_Detection_Stream.Location.dam","Final_Location_Determined_from_Last_Detection_Method.dam","Location_Notes.dam","Origin_ped.dam","Final_Status_ped.dam","X.snp.dam","GRun.snp.dam","X.ms.dam","GRun.ms.dam","GRun.dam","noff.dam","potpar.dam","SEQ.sire","Second.DNA_Code.sire","Batch.Code.sire","Adipose_Fin.sire","CWT_Snout.sire","CWT_Dorsal.sire","CWT_Peduncle.sire","Applied.PIT.sire","Recaptured.PIT.sire","Year.sire","Date.sire","Site.sire","Species.sire","Species_Source.sire","Run.sire","Run_Source.sire","Origin.sire","Origin_Source.sire","Sex_Field.sire","Sex_Final.sire","Fork.sire","POH.sire","Weight.sire","Fat_Content_.Field..sire","Estimated.Fat.sire","Age.sire","Age_Source.sire","Stock.sire","FishSampling_Notes.sire","Handling_Status.sire","Final_Status.sire","Assigned_Major_Spawning_Aggregate.sire","Last_Detection_Stream.sire","Last_Detection_Stream.Location.sire","Final_Location_Determined_from_Last_Detection_Method.sire","Location_Notes.sire","Origin_ped.sire","Final_Status_ped.sire","X.snp.sire","GRun.snp.sire","X.ms.sire","GRun.ms.sire","GRun.sire","noff.sire","potpar.sire","Nparents","gens","grandparents","gen3","gen4","gen5","Origin.GP","Origin.gen3","Origin.gen4","Origin.gen5","N.hatchery.gp","N.wild.gp","gp.ratio","N.hatchery.anc","N.wild.anc","anc.ratio"
338722206,335600136,335601465,NA,NA,NA,NA,NA,NA,9386,NA,33872,"Clipped","Beep","","","3D9.257C5AF50E","",2006,"7/21/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",19,16,0.08,NA,"",2,"SC","","MINI JACK","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",NA,NA,9338,"Spring","Spring",0,"yes",1459,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F6D5C6","",2004,"6/27/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",82,65,5.82,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1446,"Spring","Spring",63,"yes",136,NA,33560,"Present","Beep",NA,"","3D9.1BF1F7A419","",2004,"6/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",61,49,2.7,NA,"",3,"SC","","","Collected","Broodstock","","","TUM","Collected at Tumwater Dam (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,135,"Spring","Spring",57,"yes",2,2,"339230010 339230013","none","none","none","Hatchery Hatchery","unknown","unknown","unknown",2,0,0,2,0,0
338722226,335601603,335601051,NA,NA,NA,NA,NA,NA,9406,NA,33872,"Clipped","Beep","","","3D9.257C5AA8E1","",2006,"7/21/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",18,14,0.08,NA,"",2,"SC","","MINI JACK","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",NA,NA,9358,"Spring","Spring",0,"yes",1047,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1A1718E","",2004,"6/21/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",82,66,5.82,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1043,"Spring","Spring",82,"yes",1596,NA,33560,"Clipped","",NA,"","3D9.1BF1A6DE43","",2004,"6/30/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",84,68,6.22,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1583,"Spring","Spring",144,"yes",2,2,"339230010 339230013","none","none","none","Hatchery Hatchery","unknown","unknown","unknown",2,0,0,2,0,0
338722256,335601951,335600923,NA,NA,NA,NA,NA,NA,9436,NA,33872,"Clipped","Beep","","","3D9.257C5AF879","",2006,"7/22/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",18,14,0.06,NA,"",2,"SC","","MINI JACK","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",NA,NA,9387,"Spring","Spring",0,"yes",919,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F8FAB2","",2004,"6/20/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",84,66,6.44,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,915,"Spring","Spring",38,"yes",1944,NA,33560,"Clipped","",NA,"","3D9.1BF1CF21A3","",2004,"7/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",82,66,5.15,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1929,"Spring","Spring",69,"yes",2,2,"339230010 339230017 339230013","none","none","none","Hatchery Hatchery NA","unknown","unknown","unknown",2,0,0,2,0,0
338722259,335600136,335601465,NA,NA,NA,NA,NA,NA,9439,NA,33872,"Clipped","Beep","","","3D9.257C5A980A","",2006,"7/22/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",19,15,0.1,NA,"",2,"SC","","MINI JACK","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",NA,NA,9390,"Spring","Spring",0,"yes",1459,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F6D5C6","",2004,"6/27/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",82,65,5.82,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1446,"Spring","Spring",63,"yes",136,NA,33560,"Present","Beep",NA,"","3D9.1BF1F7A419","",2004,"6/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",61,49,2.7,NA,"",3,"SC","","","Collected","Broodstock","","","TUM","Collected at Tumwater Dam (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,135,"Spring","Spring",57,"yes",2,2,"339230010 339230013","none","none","none","Hatchery Hatchery","unknown","unknown","unknown",2,0,0,2,0,0
338722301,335600136,335601465,NA,NA,NA,NA,NA,NA,9481,NA,33872,"Clipped","Beep","","","3D9.257C59F022","",2006,"7/24/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",18,14,0.1,NA,"",2,"SC","","MINI JACK","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",NA,NA,9432,"Spring","Spring",0,"yes",1459,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F6D5C6","",2004,"6/27/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",82,65,5.82,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1446,"Spring","Spring",63,"yes",136,NA,33560,"Present","Beep",NA,"","3D9.1BF1F7A419","",2004,"6/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",61,49,2.7,NA,"",3,"SC","","","Collected","Broodstock","","","TUM","Collected at Tumwater Dam (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,135,"Spring","Spring",57,"yes",2,2,"339230010 339230013","none","none","none","Hatchery Hatchery","unknown","unknown","unknown",2,0,0,2,0,0
338722323,335601603,335601051,NA,NA,NA,NA,NA,NA,9503,NA,33872,"Clipped","Beep","","","3D9.257C5B0558","",2006,"7/26/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",19,15,0.04,NA,"",2,"SC","","MINI JACK","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",NA,NA,9454,"Spring","Spring",0,"yes",1047,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1A1718E","",2004,"6/21/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",82,66,5.82,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1043,"Spring","Spring",82,"yes",1596,NA,33560,"Clipped","",NA,"","3D9.1BF1A6DE43","",2004,"6/30/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",84,68,6.22,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1583,"Spring","Spring",144,"yes",2,2,"339230010 339230013","none","none","none","Hatchery Hatchery","unknown","unknown","unknown",2,0,0,2,0,0
342000487,335601951,335600923,NA,NA,NA,NA,NA,NA,10056,NA,34200,"Clipped","Beep","","","3D9.257C5B66AC","",2007,"6/25/07","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",54,44,1.76,NA,"",3,"SC","","JACK","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",477,"Spring",10005,"Spring","Spring",0,"yes",919,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F8FAB2","",2004,"6/20/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",84,66,6.44,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,915,"Spring","Spring",38,"yes",1944,NA,33560,"Clipped","",NA,"","3D9.1BF1CF21A3","",2004,"7/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",82,66,5.15,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1929,"Spring","Spring",69,"yes",2,2,"339230010 339230017 339230013","none","none","none","Hatchery Hatchery NA","unknown","unknown","unknown",2,0,0,2,0,0
342000492,335601951,335602058,NA,NA,NA,NA,NA,NA,10061,NA,34200,"Clipped","Beep","","","3D9.257C5A934D","",2007,"6/25/07","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",55,44,1.92,NA,"",3,"SC","","TRANSPORTED 7/6 AS FALLBACK/JACK","Passed","Spawning Grounds","Chiwawa","CHI","C2C","Carcass Recovery: Spawned","","Hatchery","Spawning Grounds",482,"Spring",10010,"Spring","Spring",1,"yes",2051,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F72F2E","",2004,"7/5/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",81,64,5.72,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,2036,"Spring","Spring",81,"yes",1944,NA,33560,"Clipped","",NA,"","3D9.1BF1CF21A3","",2004,"7/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",82,66,5.15,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1929,"Spring","Spring",69,"yes",2,2,"339230017 339230010 339230013","none","none","none","Hatchery Hatchery NA","unknown","unknown","unknown",2,0,0,2,0,0
342000553,335601951,335600923,NA,NA,NA,NA,NA,NA,10122,NA,34200,"Clipped","Beep","","","3D9.257C5C63B1","",2007,"6/26/07","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",51,41,1.36,NA,"",3,"SC","","JACK","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",541,"Spring",10071,"Spring","Spring",0,"yes",919,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F8FAB2","",2004,"6/20/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",84,66,6.44,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,915,"Spring","Spring",38,"yes",1944,NA,33560,"Clipped","",NA,"","3D9.1BF1CF21A3","",2004,"7/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",82,66,5.15,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1929,"Spring","Spring",69,"yes",2,2,"339230010 339230017 339230013","none","none","none","Hatchery Hatchery NA","unknown","unknown","unknown",2,0,0,2,0,0
342000610,335601951,335600923,NA,NA,NA,NA,NA,NA,10179,NA,34200,"Clipped","Beep","","","3D9.257C5ACD02","",2007,"6/28/07","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",53,42,1.48,NA,"",3,"SC","","TRANSPORTED/JACK","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",597,"Spring",10128,"Spring","Spring",0,"yes",919,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F8FAB2","",2004,"6/20/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",84,66,6.44,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,915,"Spring","Spring",38,"yes",1944,NA,33560,"Clipped","",NA,"","3D9.1BF1CF21A3","",2004,"7/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",82,66,5.15,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1929,"Spring","Spring",69,"yes",2,2,"339230010 339230017 339230013","none","none","none","Hatchery Hatchery NA","unknown","unknown","unknown",2,0,0,2,0,0
342000664,335600136,335601465,NA,NA,NA,NA,NA,NA,10233,NA,34200,"Clipped","Beep","","","3D9.257C5B0883","",2007,"6/28/07","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",56,45,1.88,NA,"",3,"SC","","JACK/ Fallback 7/13/07","Passed","Spawning Grounds","Chiwawa","CHI","C5","Carcass Recovery: Spawned","","Hatchery","Spawning Grounds",650,"Spring",10182,"Spring","Spring",1,"yes",1459,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F6D5C6","",2004,"6/27/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",82,65,5.82,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1446,"Spring","Spring",63,"yes",136,NA,33560,"Present","Beep",NA,"","3D9.1BF1F7A419","",2004,"6/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",61,49,2.7,NA,"",3,"SC","","","Collected","Broodstock","","","TUM","Collected at Tumwater Dam (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,135,"Spring","Spring",57,"yes",2,2,"339230010 339230013","none","none","none","Hatchery Hatchery","unknown","unknown","unknown",2,0,0,2,0,0
342000737,335601951,335600923,NA,NA,NA,NA,NA,NA,10306,NA,34200,"Clipped","Beep","","","3D9.257C5AC71E","",2007,"6/29/07","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",48,39,1.2,NA,"",3,"SC","","JACK","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",723,"Spring",10255,"Spring","Spring",0,"yes",919,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F8FAB2","",2004,"6/20/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",84,66,6.44,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,915,"Spring","Spring",38,"yes",1944,NA,33560,"Clipped","",NA,"","3D9.1BF1CF21A3","",2004,"7/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",82,66,5.15,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1929,"Spring","Spring",69,"yes",2,2,"339230010 339230017 339230013","none","none","none","Hatchery Hatchery NA","unknown","unknown","unknown",2,0,0,2,0,0
342000741,335601951,335600923,NA,NA,NA,NA,NA,NA,10310,NA,34200,"Clipped","Beep","","","3D9.257C5ABDC0","",2007,"6/29/07","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",52,42,1.64,NA,"",3,"SC","","JACK","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",727,"Spring",10259,"Spring","Spring",0,"yes",919,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F8FAB2","",2004,"6/20/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",84,66,6.44,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,915,"Spring","Spring",38,"yes",1944,NA,33560,"Clipped","",NA,"","3D9.1BF1CF21A3","",2004,"7/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",82,66,5.15,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1929,"Spring","Spring",69,"yes",2,2,"339230010 339230017 339230013","none","none","none","Hatchery Hatchery NA","unknown","unknown","unknown",2,0,0,2,0,0
342000771,335601951,335600923,NA,NA,NA,NA,NA,NA,10340,NA,34200,"Clipped","Beep","","","3D9.257C5AC116","",2007,"6/29/07","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",57,45,2.08,NA,"",3,"SC","","JACK/ Fallback 9/6/07","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",756,"Spring",10289,"Spring","Spring",0,"yes",919,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F8FAB2","",2004,"6/20/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",84,66,6.44,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,915,"Spring","Spring",38,"yes",1944,NA,33560,"Clipped","",NA,"","3D9.1BF1CF21A3","",2004,"7/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",82,66,5.15,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1929,"Spring","Spring",69,"yes",2,2,"339230010 339230017 339230013","none","none","none","Hatchery Hatchery NA","unknown","unknown","unknown",2,0,0,2,0,0
342000772,335600136,335601465,NA,NA,NA,NA,NA,NA,10341,NA,34200,"Present","Beep","","","3D9.257C5ADB92","",2007,"6/29/07","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",58,47,2.34,NA,"",3,"SC","","JACK","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",757,"Spring",10290,"Spring","Spring",0,"yes",1459,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F6D5C6","",2004,"6/27/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",82,65,5.82,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1446,"Spring","Spring",63,"yes",136,NA,33560,"Present","Beep",NA,"","3D9.1BF1F7A419","",2004,"6/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",61,49,2.7,NA,"",3,"SC","","","Collected","Broodstock","","","TUM","Collected at Tumwater Dam (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,135,"Spring","Spring",57,"yes",2,2,"339230010 339230013","none","none","none","Hatchery Hatchery","unknown","unknown","unknown",2,0,0,2,0,0
342000796,335600136,335601465,NA,NA,NA,NA,NA,NA,10365,NA,34200,"Clipped","Beep","","","3D9.1748E21095","",2007,"6/30/07","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",61,48,2.48,NA,"",3,"SC","","BAD CLIP","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",781,"Spring",10314,"Spring","Spring",0,"yes",1459,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F6D5C6","",2004,"6/27/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",82,65,5.82,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1446,"Spring","Spring",63,"yes",136,NA,33560,"Present","Beep",NA,"","3D9.1BF1F7A419","",2004,"6/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",61,49,2.7,NA,"",3,"SC","","","Collected","Broodstock","","","TUM","Collected at Tumwater Dam (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,135,"Spring","Spring",57,"yes",2,2,"339230010 339230013","none","none","none","Hatchery Hatchery","unknown","unknown","unknown",2,0,0,2,0,0
342000886,335601603,335601051,NA,NA,NA,NA,NA,NA,10455,NA,34200,"Clipped","Beep","","","3D9.257C5AD18B","",2007,"7/1/07","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",62,49,2.5,NA,"",3,"SC","","","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",870,"Spring",10404,"Spring","Spring",1,"yes",1047,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1A1718E","",2004,"6/21/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",82,66,5.82,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1043,"Spring","Spring",82,"yes",1596,NA,33560,"Clipped","",NA,"","3D9.1BF1A6DE43","",2004,"6/30/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",84,68,6.22,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1583,"Spring","Spring",144,"yes",2,2,"339230010 339230013","none","none","none","Hatchery Hatchery","unknown","unknown","unknown",2,0,0,2,0,0
342000916,335601951,335600695,NA,NA,NA,NA,NA,NA,10485,NA,34200,"Clipped","Beep","","","3D9.257C5B6EA1","",2007,"7/2/07","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",53,43,1.72,NA,"",3,"SC","","JACK TRANSPORTED","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",900,"Spring",10434,"Spring","Spring",0,"yes",691,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1A74992","",2004,"6/16/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",79,64,5.12,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,687,"Spring","Spring",5,"yes",1944,NA,33560,"Clipped","",NA,"","3D9.1BF1CF21A3","",2004,"7/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",82,66,5.15,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1929,"Spring","Spring",69,"yes",2,2,"339230010 339230017 339230013","none","none","none","Hatchery Hatchery NA","unknown","unknown","unknown",2,0,0,2,0,0
342001317,335600136,335601465,NA,NA,NA,NA,NA,NA,10886,NA,34200,"Present","Beep","","","3D9.257C5ABA64","",2007,"7/5/07","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",63,51,2.88,NA,"",3,"SC","","","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",1299,"Spring",10834,"Spring","Spring",0,"yes",1459,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F6D5C6","",2004,"6/27/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",82,65,5.82,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1446,"Spring","Spring",63,"yes",136,NA,33560,"Present","Beep",NA,"","3D9.1BF1F7A419","",2004,"6/4/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",61,49,2.7,NA,"",3,"SC","","","Collected","Broodstock","","","TUM","Collected at Tumwater Dam (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,135,"Spring","Spring",57,"yes",2,2,"339230010 339230013","none","none","none","Hatchery Hatchery","unknown","unknown","unknown",2,0,0,2,0,0
