"id","sire","dam","LLRdam","LLRsire","LLRpair","OHdam","OHsire","MEpair","SEQ.off","Second.DNA_Code.off","Batch.Code.off","Adipose_Fin.off","CWT_Snout.off","CWT_Dorsal.off","CWT_Peduncle.off","Applied.PIT.off","Recaptured.PIT.off","Year.off","Date.off","Site.off","Species.off","Species_Source.off","Run.off","Run_Source.off","Origin.off","Origin_Source.off","Sex_Field.off","Sex_Final.off","Fork.off","POH.off","Weight.off","Fat_Content_.Field..off","Estimated.Fat.off","Age.off","Age_Source.off","Stock.off","FishSampling_Notes.off","Handling_Status.off","Final_Status.off","Assigned_Major_Spawning_Aggregate.off","Last_Detection_Stream.off","Last_Detection_Stream.Location.off","Final_Location_Determined_from_Last_Detection_Method.off","Location_Notes.off","Origin_ped.off","Final_Status_ped.off","X.snp.off","GRun.snp.off","X.ms.off","GRun.ms.off","GRun.off","noff.off","potpar.off","SEQ.dam","Second.DNA_Code.dam","Batch.Code.dam","Adipose_Fin.dam","CWT_Snout.dam","CWT_Dorsal.dam","CWT_Peduncle.dam","Applied.PIT.dam","Recaptured.PIT.dam","Year.dam","Date.dam","Site.dam","Species.dam","Species_Source.dam","Run.dam","Run_Source.dam","Origin.dam","Origin_Source.dam","Sex_Field.dam","Sex_Final.dam","Fork.dam","POH.dam","Weight.dam","Fat_Content_.Field..dam","Estimated.Fat.dam","Age.dam","Age_Source.dam","Stock.dam","FishSampling_Notes.dam","Handling_Status.dam","Final_Status.dam","Assigned_Major_Spawning_Aggregate.dam","Last_Detection_Stream.dam","Last_Detection_Stream.Location.dam","Final_Location_Determined_from_Last_Detection_Method.dam","Location_Notes.dam","Origin_ped.dam","Final_Status_ped.dam","X.snp.dam","GRun.snp.dam","X.ms.dam","GRun.ms.dam","GRun.dam","noff.dam","potpar.dam","SEQ.sire","Second.DNA_Code.sire","Batch.Code.sire","Adipose_Fin.sire","CWT_Snout.sire","CWT_Dorsal.sire","CWT_Peduncle.sire","Applied.PIT.sire","Recaptured.PIT.sire","Year.sire","Date.sire","Site.sire","Species.sire","Species_Source.sire","Run.sire","Run_Source.sire","Origin.sire","Origin_Source.sire","Sex_Field.sire","Sex_Final.sire","Fork.sire","POH.sire","Weight.sire","Fat_Content_.Field..sire","Estimated.Fat.sire","Age.sire","Age_Source.sire","Stock.sire","FishSampling_Notes.sire","Handling_Status.sire","Final_Status.sire","Assigned_Major_Spawning_Aggregate.sire","Last_Detection_Stream.sire","Last_Detection_Stream.Location.sire","Final_Location_Determined_from_Last_Detection_Method.sire","Location_Notes.sire","Origin_ped.sire","Final_Status_ped.sire","X.snp.sire","GRun.snp.sire","X.ms.sire","GRun.ms.sire","GRun.sire","noff.sire","potpar.sire","Nparents","gens","grandparents","gen3","gen4","gen5","Origin.GP","Origin.gen3","Origin.gen4","Origin.gen5","N.hatchery.gp","N.wild.gp","gp.ratio","N.hatchery.anc","N.wild.anc","anc.ratio"
345842534,342001878,342001136,1.02,1.14,2.64,0,0,0,22014,NA,34584,"Clipped","Beep","","","3D9.1C2D3C0AAB","",2010,"7/11/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",54,43,1.84,NA,"",3,"SC","","","Passed","Spawning Grounds","Chiwawa","CHI","CHU","Array Detection","","Hatchery","Spawning Grounds",12315,"Spring",21924,"Spring","Spring",0,"yes",10705,NA,34200,"Present","",NA,"","3D9.257C5B5A5F","",2007,"7/4/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",78,63,5.2,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1118,"Spring",10653,"Spring","Spring",26,"yes",11447,NA,34200,"Present","Beep",NA,"","3D9.257C5C858C","3D9.1BF200707A",2007,"7/11/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",52,40,1.56,NA,"",3,"SC","","JACK/PREV.TAG:1BF200707A; From Archived Tuwater DB","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1856,"Spring",11393,"Spring","Spring",26,"yes",2,2,"335600824","none","none","none","Wild","unknown","unknown","unknown",0,1,1,0,1,1
345842920,342001878,342001136,1.34,0.67,2.76,0,0,0,22396,NA,34584,"Clipped","Beep","","","3D9.1C2D3CBFCC","",2010,"7/13/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",52,43,1.58,NA,"",3,"SC","","","Passed","Spawning Grounds","Nason","NAS","NAU","Array Detection","","Hatchery","Spawning Grounds",12697,"Spring",22306,"Spring","Spring",0,"yes",10705,NA,34200,"Present","",NA,"","3D9.257C5B5A5F","",2007,"7/4/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",78,63,5.2,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1118,"Spring",10653,"Spring","Spring",26,"yes",11447,NA,34200,"Present","Beep",NA,"","3D9.257C5C858C","3D9.1BF200707A",2007,"7/11/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",52,40,1.56,NA,"",3,"SC","","JACK/PREV.TAG:1BF200707A; From Archived Tuwater DB","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1856,"Spring",11393,"Spring","Spring",26,"yes",2,2,"335600824","none","none","none","Wild","unknown","unknown","unknown",0,1,1,0,1,1
345843048,342001878,342001136,0.87,1.39,2.65,0,0,0,22523,NA,34584,"Clipped","Beep","","","3D9.1C2D3C1E43","",2010,"7/14/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",59,47,2.14,NA,"",3,"SC","","","Passed","Spawning Grounds","Chiwawa","CHI","CHL","Array Detection","","Hatchery","Spawning Grounds",12824,"Spring",22433,"Spring","Spring",1,"yes",10705,NA,34200,"Present","",NA,"","3D9.257C5B5A5F","",2007,"7/4/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",78,63,5.2,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1118,"Spring",10653,"Spring","Spring",26,"yes",11447,NA,34200,"Present","Beep",NA,"","3D9.257C5C858C","3D9.1BF200707A",2007,"7/11/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",52,40,1.56,NA,"",3,"SC","","JACK/PREV.TAG:1BF200707A; From Archived Tuwater DB","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1856,"Spring",11393,"Spring","Spring",26,"yes",2,2,"335600824","none","none","none","Wild","unknown","unknown","unknown",0,1,1,0,1,1
345843391,342001878,342001136,1.42,0.93,2.63,0,0,0,22862,NA,34584,"Clipped","Beep","","","3D9.1C2D3CFE47","",2010,"7/17/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",53,43,1.66,NA,"",3,"SC","","","Passed","Spawning Grounds","Nason","NAS","NAU","Array Detection","","Hatchery","Spawning Grounds",13163,"Spring",22771,"Spring","Spring",0,"yes",10705,NA,34200,"Present","",NA,"","3D9.257C5B5A5F","",2007,"7/4/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",78,63,5.2,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1118,"Spring",10653,"Spring","Spring",26,"yes",11447,NA,34200,"Present","Beep",NA,"","3D9.257C5C858C","3D9.1BF200707A",2007,"7/11/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",52,40,1.56,NA,"",3,"SC","","JACK/PREV.TAG:1BF200707A; From Archived Tuwater DB","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1856,"Spring",11393,"Spring","Spring",26,"yes",2,2,"335600824","none","none","none","Wild","unknown","unknown","unknown",0,1,1,0,1,1
345843782,342001878,342001136,1.28,1.3,3.17,0,0,0,23248,NA,34584,"Clipped","Beep","","","3D9.1C2D3E9D31","",2010,"7/19/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",61,49,2.3,NA,"",3,"SC","","","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",13548,"Spring",23156,"Spring","Spring",0,"yes",10705,NA,34200,"Present","",NA,"","3D9.257C5B5A5F","",2007,"7/4/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",78,63,5.2,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1118,"Spring",10653,"Spring","Spring",26,"yes",11447,NA,34200,"Present","Beep",NA,"","3D9.257C5C858C","3D9.1BF200707A",2007,"7/11/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",52,40,1.56,NA,"",3,"SC","","JACK/PREV.TAG:1BF200707A; From Archived Tuwater DB","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1856,"Spring",11393,"Spring","Spring",26,"yes",2,2,"335600824","none","none","none","Wild","unknown","unknown","unknown",0,1,1,0,1,1
345844144,343894331,343895001,1.05,0.74,3.24,0,0,0,23606,NA,34584,"Clipped","Beep","","","3D9.1C2D3CE29C","",2010,"7/22/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",27,21,0.2,NA,"",2,"SC","","","Passed","Spawning Grounds","Chiwawa","CHI","CHL","Array Detection","","Hatchery","Spawning Grounds",13905,"Spring",23514,"Spring","Spring",0,"yes",18472,NA,34389,"Present","",NA,"","3D9.1C2C969474","",2008,"7/24/08","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",82,67,5.48,NA,"",4,"SC","","POSS.SMM,Detected On Lower CHI Array","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",8790,"Spring",18401,"Spring","Spring",29,"yes",17802,NA,34389,"Present","",NA,"","3D9.1C2C94951A","",2008,"7/18/08","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",80,65,4.64,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",8130,"Spring",17731,"Spring","Spring",77,"yes",2,2,"335601110 335601249 335601711","none","none","none","Wild Wild Wild","unknown","unknown","unknown",0,3,1,0,3,1
345844724,343894331,343895001,1.74,1.61,3.13,0,0,0,24180,NA,34584,"Clipped","Beep","","","3D9.1C2D3D3CAF","",2010,"7/28/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",25,20,NA,NA,"",2,"SC","","","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",14478,"Spring",24088,"Spring","Spring",0,"yes",18472,NA,34389,"Present","",NA,"","3D9.1C2C969474","",2008,"7/24/08","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",82,67,5.48,NA,"",4,"SC","","POSS.SMM,Detected On Lower CHI Array","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",8790,"Spring",18401,"Spring","Spring",29,"yes",17802,NA,34389,"Present","",NA,"","3D9.1C2C94951A","",2008,"7/18/08","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",80,65,4.64,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",8130,"Spring",17731,"Spring","Spring",77,"yes",2,2,"335601110 335601249 335601711","none","none","none","Wild Wild Wild","unknown","unknown","unknown",0,3,1,0,3,1
345845222,342001878,342001136,1.58,0.95,3.3,0,0,0,24673,NA,34584,"Clipped","Beep","","","3D9.1C2D3BEE1C","",2010,"8/3/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",59,47,1.84,NA,"",3,"SC","","","Passed","Spawning Grounds","Chiwawa","CHI","CHL","Array Detection","","Hatchery","Spawning Grounds",14865,"Spring",24580,"Spring","Spring",0,"yes",10705,NA,34200,"Present","",NA,"","3D9.257C5B5A5F","",2007,"7/4/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",78,63,5.2,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1118,"Spring",10653,"Spring","Spring",26,"yes",11447,NA,34200,"Present","Beep",NA,"","3D9.257C5C858C","3D9.1BF200707A",2007,"7/11/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",52,40,1.56,NA,"",3,"SC","","JACK/PREV.TAG:1BF200707A; From Archived Tuwater DB","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1856,"Spring",11393,"Spring","Spring",26,"yes",2,2,"335600824","none","none","none","Wild","unknown","unknown","unknown",0,1,1,0,1,1
345845297,342001878,342001136,1,1.54,2.64,0,0,0,24747,NA,34584,"Clipped","Beep","","","3D9.1C2D3BF77A","",2010,"8/4/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",60,49,2.18,NA,"",3,"SC","","","Passed","Spawning Grounds","Nason","NAS","NAU","Array Detection","","Hatchery","Spawning Grounds",14939,"Spring",24654,"Spring","Spring",0,"yes",10705,NA,34200,"Present","",NA,"","3D9.257C5B5A5F","",2007,"7/4/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",78,63,5.2,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1118,"Spring",10653,"Spring","Spring",26,"yes",11447,NA,34200,"Present","Beep",NA,"","3D9.257C5C858C","3D9.1BF200707A",2007,"7/11/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",52,40,1.56,NA,"",3,"SC","","JACK/PREV.TAG:1BF200707A; From Archived Tuwater DB","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1856,"Spring",11393,"Spring","Spring",26,"yes",2,2,"335600824","none","none","none","Wild","unknown","unknown","unknown",0,1,1,0,1,1
345845367,342001878,342001136,0.89,1.77,3.12,0,0,0,24815,NA,34584,"Clipped","Beep","","","3D9.1C2D3D588C","",2010,"8/5/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",62,49,2.51,NA,"",3,"SC","","","Passed","Spawning Grounds","Chiwawa","CHI","CHL","Array Detection","","Hatchery","Spawning Grounds",15007,"Spring",24722,"Spring","Spring",0,"yes",10705,NA,34200,"Present","",NA,"","3D9.257C5B5A5F","",2007,"7/4/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",78,63,5.2,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1118,"Spring",10653,"Spring","Spring",26,"yes",11447,NA,34200,"Present","Beep",NA,"","3D9.257C5C858C","3D9.1BF200707A",2007,"7/11/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",52,40,1.56,NA,"",3,"SC","","JACK/PREV.TAG:1BF200707A; From Archived Tuwater DB","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1856,"Spring",11393,"Spring","Spring",26,"yes",2,2,"335600824","none","none","none","Wild","unknown","unknown","unknown",0,1,1,0,1,1
345845368,342001878,342001136,1.06,0.79,4.51,0,0,0,24816,NA,34584,"Clipped","Beep","","","3D9.1C2D3C1ABC","",2010,"8/5/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",57,45,1.9,NA,"",3,"SC","","","Passed","Spawning Grounds","Nason","NAS","NAU","Array Detection","","Hatchery","Spawning Grounds",15008,"Spring",24723,"Spring","Spring",0,"yes",10705,NA,34200,"Present","",NA,"","3D9.257C5B5A5F","",2007,"7/4/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",78,63,5.2,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1118,"Spring",10653,"Spring","Spring",26,"yes",11447,NA,34200,"Present","Beep",NA,"","3D9.257C5C858C","3D9.1BF200707A",2007,"7/11/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",52,40,1.56,NA,"",3,"SC","","JACK/PREV.TAG:1BF200707A; From Archived Tuwater DB","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1856,"Spring",11393,"Spring","Spring",26,"yes",2,2,"335600824","none","none","none","Wild","unknown","unknown","unknown",0,1,1,0,1,1
345845411,342001878,342001136,1.3,1.52,4.33,0,0,0,24859,NA,34584,"Clipped","Beep","","","3D9.1C2D8E1662","",2010,"8/6/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",56,45,1.78,NA,"",3,"SC","","","Passed","Spawning Grounds","Chiwawa","CHI","CHU","Array Detection","","Hatchery","Spawning Grounds",15051,"Spring",24766,"Spring","Spring",0,"yes",10705,NA,34200,"Present","",NA,"","3D9.257C5B5A5F","",2007,"7/4/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",78,63,5.2,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1118,"Spring",10653,"Spring","Spring",26,"yes",11447,NA,34200,"Present","Beep",NA,"","3D9.257C5C858C","3D9.1BF200707A",2007,"7/11/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",52,40,1.56,NA,"",3,"SC","","JACK/PREV.TAG:1BF200707A; From Archived Tuwater DB","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1856,"Spring",11393,"Spring","Spring",26,"yes",2,2,"335600824","none","none","none","Wild","unknown","unknown","unknown",0,1,1,0,1,1
345845525,342001878,342001136,0.79,2.57,4.7,0,0,0,24970,NA,34584,"Clipped","Beep","","","3D9.1C2D8F6F78","",2010,"8/8/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",59,47,2.2,NA,"",3,"SC","","","Passed","Spawning Grounds","Chiwawa","CHI","CHL","Array Detection","","Hatchery","Spawning Grounds",15162,"Spring",24877,"Spring","Spring",0,"yes",10705,NA,34200,"Present","",NA,"","3D9.257C5B5A5F","",2007,"7/4/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",78,63,5.2,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1118,"Spring",10653,"Spring","Spring",26,"yes",11447,NA,34200,"Present","Beep",NA,"","3D9.257C5C858C","3D9.1BF200707A",2007,"7/11/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",52,40,1.56,NA,"",3,"SC","","JACK/PREV.TAG:1BF200707A; From Archived Tuwater DB","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1856,"Spring",11393,"Spring","Spring",26,"yes",2,2,"335600824","none","none","none","Wild","unknown","unknown","unknown",0,1,1,0,1,1
345845543,342001878,342001136,1.23,0.95,2.92,0,0,0,24988,NA,34584,"Clipped","Beep","","","3D9.1C2D8E2FB4","",2010,"8/8/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",57,46,1.7,NA,"",3,"SC","","","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",15180,"Spring",24895,"Spring","Spring",0,"yes",10705,NA,34200,"Present","",NA,"","3D9.257C5B5A5F","",2007,"7/4/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",78,63,5.2,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1118,"Spring",10653,"Spring","Spring",26,"yes",11447,NA,34200,"Present","Beep",NA,"","3D9.257C5C858C","3D9.1BF200707A",2007,"7/11/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",52,40,1.56,NA,"",3,"SC","","JACK/PREV.TAG:1BF200707A; From Archived Tuwater DB","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1856,"Spring",11393,"Spring","Spring",26,"yes",2,2,"335600824","none","none","none","Wild","unknown","unknown","unknown",0,1,1,0,1,1
345845549,342001878,342001136,1.52,1.06,4.02,0,0,0,24994,NA,34584,"Clipped","Beep","","","3D9.1C2D8F4132","",2010,"8/9/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",51,47,1.25,NA,"",3,"SC","","","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",15186,"Spring",24901,"Spring","Spring",0,"yes",10705,NA,34200,"Present","",NA,"","3D9.257C5B5A5F","",2007,"7/4/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",78,63,5.2,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1118,"Spring",10653,"Spring","Spring",26,"yes",11447,NA,34200,"Present","Beep",NA,"","3D9.257C5C858C","3D9.1BF200707A",2007,"7/11/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",52,40,1.56,NA,"",3,"SC","","JACK/PREV.TAG:1BF200707A; From Archived Tuwater DB","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1856,"Spring",11393,"Spring","Spring",26,"yes",2,2,"335600824","none","none","none","Wild","unknown","unknown","unknown",0,1,1,0,1,1
349040247,343894331,343895001,1.15,1.63,2.2,0,0,0,30578,NA,34904,"Clipped","Beep","","","3D9.1C2D3B0875","",2011,"7/2/11","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",57,46,2.19,NA,"",3,"SC","","","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",20672,"Spring",NA,NA,"Spring",0,"yes",18472,NA,34389,"Present","",NA,"","3D9.1C2C969474","",2008,"7/24/08","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",82,67,5.48,NA,"",4,"SC","","POSS.SMM,Detected On Lower CHI Array","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",8790,"Spring",18401,"Spring","Spring",29,"yes",17802,NA,34389,"Present","",NA,"","3D9.1C2C94951A","",2008,"7/18/08","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",80,65,4.64,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",8130,"Spring",17731,"Spring","Spring",77,"yes",2,2,"335601110 335601249 335601711","none","none","none","Wild Wild Wild","unknown","unknown","unknown",0,3,1,0,3,1
349040463,343894331,343895001,1.28,-1.21,0.75,0,1,1,30793,NA,34904,"Clipped","Beep","","","3D9.1C2D3B384A","",2011,"7/4/11","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",58,46,1.91,NA,"",3,"SC","","","Passed","Spawning Grounds","Nason","NAS","NAU","Array Detection","","Hatchery","Spawning Grounds",20826,"Spring",NA,NA,"Spring",0,"yes",18472,NA,34389,"Present","",NA,"","3D9.1C2C969474","",2008,"7/24/08","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",82,67,5.48,NA,"",4,"SC","","POSS.SMM,Detected On Lower CHI Array","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",8790,"Spring",18401,"Spring","Spring",29,"yes",17802,NA,34389,"Present","",NA,"","3D9.1C2C94951A","",2008,"7/18/08","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",80,65,4.64,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",8130,"Spring",17731,"Spring","Spring",77,"yes",2,2,"335601110 335601249 335601711","none","none","none","Wild Wild Wild","unknown","unknown","unknown",0,3,1,0,3,1
349041138,342001878,342001136,1.29,1.79,3.85,0,0,0,31467,NA,34904,"Clipped","Beep","","","3D9.1C2D8E019A","",2011,"7/10/11","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,62,4.76,NA,"",4,"SC","","","Passed","Spawning Grounds","Nason","NAS","NAU","Array Detection","","Hatchery","Spawning Grounds",21293,"Spring",NA,NA,"Spring",1,"yes",10705,NA,34200,"Present","",NA,"","3D9.257C5B5A5F","",2007,"7/4/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Female","Female",78,63,5.2,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1118,"Spring",10653,"Spring","Spring",26,"yes",11447,NA,34200,"Present","Beep",NA,"","3D9.257C5C858C","3D9.1BF200707A",2007,"7/11/07","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",52,40,1.56,NA,"",3,"SC","","JACK/PREV.TAG:1BF200707A; From Archived Tuwater DB","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Wild","Broodstock",1856,"Spring",11393,"Spring","Spring",26,"yes",2,2,"335600824","none","none","none","Wild","unknown","unknown","unknown",0,1,1,0,1,1
