"id","sire","dam","LLRdam","LLRsire","LLRpair","OHdam","OHsire","MEpair","SEQ.off","Second.DNA_Code.off","Batch.Code.off","Adipose_Fin.off","CWT_Snout.off","CWT_Dorsal.off","CWT_Peduncle.off","Applied.PIT.off","Recaptured.PIT.off","Year.off","Date.off","Site.off","Species.off","Species_Source.off","Run.off","Run_Source.off","Origin.off","Origin_Source.off","Sex_Field.off","Sex_Final.off","Fork.off","POH.off","Weight.off","Fat_Content_.Field..off","Estimated.Fat.off","Age.off","Age_Source.off","Stock.off","FishSampling_Notes.off","Handling_Status.off","Final_Status.off","Assigned_Major_Spawning_Aggregate.off","Last_Detection_Stream.off","Last_Detection_Stream.Location.off","Final_Location_Determined_from_Last_Detection_Method.off","Location_Notes.off","Origin_ped.off","Final_Status_ped.off","X.snp.off","GRun.snp.off","X.ms.off","GRun.ms.off","GRun.off","noff.off","potpar.off","SEQ.dam","Second.DNA_Code.dam","Batch.Code.dam","Adipose_Fin.dam","CWT_Snout.dam","CWT_Dorsal.dam","CWT_Peduncle.dam","Applied.PIT.dam","Recaptured.PIT.dam","Year.dam","Date.dam","Site.dam","Species.dam","Species_Source.dam","Run.dam","Run_Source.dam","Origin.dam","Origin_Source.dam","Sex_Field.dam","Sex_Final.dam","Fork.dam","POH.dam","Weight.dam","Fat_Content_.Field..dam","Estimated.Fat.dam","Age.dam","Age_Source.dam","Stock.dam","FishSampling_Notes.dam","Handling_Status.dam","Final_Status.dam","Assigned_Major_Spawning_Aggregate.dam","Last_Detection_Stream.dam","Last_Detection_Stream.Location.dam","Final_Location_Determined_from_Last_Detection_Method.dam","Location_Notes.dam","Origin_ped.dam","Final_Status_ped.dam","X.snp.dam","GRun.snp.dam","X.ms.dam","GRun.ms.dam","GRun.dam","noff.dam","potpar.dam","SEQ.sire","Second.DNA_Code.sire","Batch.Code.sire","Adipose_Fin.sire","CWT_Snout.sire","CWT_Dorsal.sire","CWT_Peduncle.sire","Applied.PIT.sire","Recaptured.PIT.sire","Year.sire","Date.sire","Site.sire","Species.sire","Species_Source.sire","Run.sire","Run_Source.sire","Origin.sire","Origin_Source.sire","Sex_Field.sire","Sex_Final.sire","Fork.sire","POH.sire","Weight.sire","Fat_Content_.Field..sire","Estimated.Fat.sire","Age.sire","Age_Source.sire","Stock.sire","FishSampling_Notes.sire","Handling_Status.sire","Final_Status.sire","Assigned_Major_Spawning_Aggregate.sire","Last_Detection_Stream.sire","Last_Detection_Stream.Location.sire","Final_Location_Determined_from_Last_Detection_Method.sire","Location_Notes.sire","Origin_ped.sire","Final_Status_ped.sire","X.snp.sire","GRun.snp.sire","X.ms.sire","GRun.ms.sire","GRun.sire","noff.sire","potpar.sire","Nparents","gens","grandparents","gen3","gen4","gen5","Origin.GP","Origin.gen3","Origin.gen4","Origin.gen5","N.hatchery.gp","N.wild.gp","gp.ratio","N.hatchery.anc","N.wild.anc","anc.ratio"
343890191,335600105,335601069,NA,NA,NA,NA,NA,NA,13665,NA,34389,"Clipped","Beep","","","3D9.257C5C533F","",2008,"6/17/08","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",77,64,4.22,NA,"",4,"SC","","","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",4052,"Spring",13595,"Spring","Spring",0,"yes",1065,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1A6E2CC","",2004,"6/21/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",71,57,4.14,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1061,"Spring","Spring",18,"yes",105,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F81EA2","",2004,"6/3/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",74,60,4.24,NA,"",4,"SC","","","Collected","Broodstock","","","TUM","Collected at Tumwater Dam (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,105,"Spring","Spring",170,"yes",2,2,"339230011 339230010 339230014 339230013","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
343890560,335600105,335601069,NA,NA,NA,NA,NA,NA,14034,NA,34389,"Clipped","Beep","","","3D9.257C59FCE1","",2008,"6/24/08","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,63,4.57,NA,"",4,"SC","","Detected on Upper CHI Array","Passed","Spawning Grounds","Chiwawa","CHI","CHU","Array Detection","","Hatchery","Spawning Grounds",4412,"Spring",13964,"Spring","Spring",1,"yes",1065,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1A6E2CC","",2004,"6/21/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",71,57,4.14,NA,"",4,"SC","","","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1061,"Spring","Spring",18,"yes",105,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F81EA2","",2004,"6/3/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",74,60,4.24,NA,"",4,"SC","","","Collected","Broodstock","","","TUM","Collected at Tumwater Dam (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,105,"Spring","Spring",170,"yes",2,2,"339230011 339230010 339230014 339230013","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
343894900,335601692,335600705,NA,NA,NA,NA,NA,NA,18371,NA,34389,"Present","","","","3D9.1C2C96AB62","",2008,"7/23/08","WEN-TUM","Chinook","FD","Spring","DN","Wild","SC","Male","Male",89,69,6.33,NA,"",4,"SC","","Detected on Lower NAS Array","Passed","Spawning Grounds","Nason","NAS","NAL","Array Detection","","Wild","Spawning Grounds",8690,"Spring",18300,"Spring","Spring",1,"yes",701,NA,33560,"Clipped","",NA,"","3D9.1BF1F7A29A","",2004,"6/17/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",84,67,6.18,NA,"",4,"SC","","","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",NA,NA,697,"Spring","Spring",1,"yes",1685,NA,33560,"Present","",NA,"","3D9.1BF1CF0613","",2004,"7/1/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",61,50,2.88,NA,"",3,"SC","","","Passed","Spawning Grounds","Nason","NAS","N1","Carcass Recovery: Spawned","","Hatchery","Spawning Grounds",NA,NA,1672,"Spring","Spring",2,"yes",2,2,"339230011 339240127 339230014 339240152","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
343895740,335600105,335601101,NA,NA,NA,NA,NA,NA,19211,NA,34389,"Clipped","Beep","","","3D9.1C2C963E72","",2008,"8/2/08","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",87,62,6.26,NA,"",4,"SC","","Detected On Lower CHI Array","Passed","Spawning Grounds","Chiwawa","CHI","CHL","Array Detection","","Hatchery","Spawning Grounds",9520,"Spring",19139,"Spring","Spring",0,"yes",1097,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F6C90E","",2004,"6/22/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,61,4.74,NA,"",4,"SC","","","Collected","Broodstock","","","TUM","Collected at Tumwater Dam (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,1092,"Spring","Spring",83,"yes",105,NA,33560,"Clipped","Beep",NA,"","3D9.1BF1F81EA2","",2004,"6/3/04","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",74,60,4.24,NA,"",4,"SC","","","Collected","Broodstock","","","TUM","Collected at Tumwater Dam (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,105,"Spring","Spring",170,"yes",2,2,"339230011 339230010 339230014 339230013","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
345840040,338720258,338721423,NA,NA,NA,NA,NA,NA,19546,NA,34584,"Clipped","Beep","","","3D9.1C2D18045F","",2010,"6/5/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",75,60,4.28,NA,"",4,"SC","","","Passed","Spawning Grounds","Chiwawa","CHI","CHL","Array Detection","","Hatchery","Spawning Grounds",9849,"Spring",19456,"Spring","Spring",1,"yes",8603,NA,33872,"Present","Beep",NA,"","3D9.1748CC2BD2","",2006,"7/6/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,62,4.46,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,8565,"Spring","Spring",51,"yes",7439,NA,33872,"Present","Beep",NA,"","3D9.1748D067BC","",2006,"6/27/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",72,57,4.12,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,7409,"Spring","Spring",48,"yes",2,2,"339250051 339250011 339250034 339250006","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
345840085,338720258,338721423,NA,NA,NA,NA,NA,NA,19591,NA,34584,"Clipped","Beep","","","3D9.1C2D1F86C6","",2010,"6/11/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",71,56,3.84,NA,"",4,"SC","","","Passed","Spawning Grounds","Chiwawa","Chikamin","K1","Live-Redd","","Hatchery","Spawning Grounds",9894,"Spring",19501,"Spring","Spring",0,"yes",8603,NA,33872,"Present","Beep",NA,"","3D9.1748CC2BD2","",2006,"7/6/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,62,4.46,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,8565,"Spring","Spring",51,"yes",7439,NA,33872,"Present","Beep",NA,"","3D9.1748D067BC","",2006,"6/27/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",72,57,4.12,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,7409,"Spring","Spring",48,"yes",2,2,"339250051 339250011 339250034 339250006","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
345840087,338720258,338721423,NA,NA,NA,NA,NA,NA,19593,NA,34584,"Clipped","Beep","","","3D9.1C2D1C4E62","",2010,"6/11/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",81,67,6,NA,"",4,"SC","","","Passed","Spawning Grounds","Nason","NAS","N2","Live-Redd","","Hatchery","Spawning Grounds",9896,"Spring",19503,"Spring","Spring",1,"yes",8603,NA,33872,"Present","Beep",NA,"","3D9.1748CC2BD2","",2006,"7/6/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,62,4.46,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,8565,"Spring","Spring",51,"yes",7439,NA,33872,"Present","Beep",NA,"","3D9.1748D067BC","",2006,"6/27/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",72,57,4.12,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,7409,"Spring","Spring",48,"yes",2,2,"339250051 339250011 339250034 339250006","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
345840094,338720258,338721423,NA,NA,NA,NA,NA,NA,19600,NA,34584,"Clipped","Beep","","","3D9.1C2D1F9E83","",2010,"6/11/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",76,61,4.6,NA,"",4,"SC","","","Passed","Spawning Grounds","Chiwawa","CHI","C2A","Live-Redd","","Hatchery","Spawning Grounds",9903,"Spring",19510,"Spring","Spring",0,"yes",8603,NA,33872,"Present","Beep",NA,"","3D9.1748CC2BD2","",2006,"7/6/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,62,4.46,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,8565,"Spring","Spring",51,"yes",7439,NA,33872,"Present","Beep",NA,"","3D9.1748D067BC","",2006,"6/27/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",72,57,4.12,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,7409,"Spring","Spring",48,"yes",2,2,"339250051 339250011 339250034 339250006","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
345840095,338720258,338721423,NA,NA,NA,NA,NA,NA,19601,NA,34584,"Clipped","Beep","","","3D9.1C2D1BF0A2","",2010,"6/11/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",71,57,3.76,NA,"",4,"SC","","","Passed","Spawning Grounds","Nason","NAS","NAL","Array Detection","","Hatchery","Spawning Grounds",9904,"Spring",19511,"Spring","Spring",0,"yes",8603,NA,33872,"Present","Beep",NA,"","3D9.1748CC2BD2","",2006,"7/6/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,62,4.46,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,8565,"Spring","Spring",51,"yes",7439,NA,33872,"Present","Beep",NA,"","3D9.1748D067BC","",2006,"6/27/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",72,57,4.12,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,7409,"Spring","Spring",48,"yes",2,2,"339250051 339250011 339250034 339250006","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
345840110,338720258,338721423,NA,NA,NA,NA,NA,NA,19615,NA,34584,"Clipped","Beep","","","3D9.1C2D28B0F3","",2010,"6/12/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,60,4.62,NA,"",4,"SC","","","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",9918,"Spring",19525,"Spring","Spring",0,"yes",8603,NA,33872,"Present","Beep",NA,"","3D9.1748CC2BD2","",2006,"7/6/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,62,4.46,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,8565,"Spring","Spring",51,"yes",7439,NA,33872,"Present","Beep",NA,"","3D9.1748D067BC","",2006,"6/27/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",72,57,4.12,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,7409,"Spring","Spring",48,"yes",2,2,"339250051 339250011 339250034 339250006","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
345840119,338720258,338721423,NA,NA,NA,NA,NA,NA,19624,NA,34584,"Clipped","Beep","","","3D9.1C2D28A56A","",2010,"6/12/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",79,62,5.06,NA,"",4,"SC","","","Passed","Spawning Grounds","Chiwawa","CHI","CHL","Array Detection","","Hatchery","Spawning Grounds",9927,"Spring",19534,"Spring","Spring",0,"yes",8603,NA,33872,"Present","Beep",NA,"","3D9.1748CC2BD2","",2006,"7/6/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,62,4.46,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,8565,"Spring","Spring",51,"yes",7439,NA,33872,"Present","Beep",NA,"","3D9.1748D067BC","",2006,"6/27/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",72,57,4.12,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,7409,"Spring","Spring",48,"yes",2,2,"339250051 339250011 339250034 339250006","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
345840142,338720003,338722041,NA,NA,NA,NA,NA,NA,19647,NA,34584,"Clipped","Beep","","","3D9.1C2D1FA082","",2010,"6/13/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",77,60,4.98,NA,"",4,"SC","","","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",9950,"Spring",19557,"Spring","Spring",0,"yes",9221,NA,33872,"Present","Beep",NA,"","3D9.1748CF15BA","",2006,"7/15/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",81,65,5.96,NA,"",4,"SC","","PRESENT @ HATCHERY","Collected","Broodstock","","","TUM","Collected at Tumwater Dam (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,9175,"Spring","Spring",12,"yes",7184,NA,33872,"Present","Beep",NA,"","3D9.1748CC3FAB","",2006,"6/19/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",72,59,3.7,NA,"",4,"SC","","PRESENT @ HATCHERY, Sex Corrected By Broodstock","Collected","Broodstock","","","TUM","Collected at Tumwater Dam (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,7154,"Spring","Spring",11,"yes",2,2,"339250028 339250072 339250020 339250069","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
345840165,338720258,338721423,NA,NA,NA,NA,NA,NA,19670,NA,34584,"Clipped","Beep","","","3D9.1C2D28A1D8","",2010,"6/16/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",74,60,4.3,NA,"",4,"SC","","","Passed","Spawning Grounds","Chiwawa","CHI","CHL","Array Detection","","Hatchery","Spawning Grounds",9973,"Spring",19580,"Spring","Spring",0,"yes",8603,NA,33872,"Present","Beep",NA,"","3D9.1748CC2BD2","",2006,"7/6/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,62,4.46,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,8565,"Spring","Spring",51,"yes",7439,NA,33872,"Present","Beep",NA,"","3D9.1748D067BC","",2006,"6/27/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",72,57,4.12,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,7409,"Spring","Spring",48,"yes",2,2,"339250051 339250011 339250034 339250006","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
345840166,338720258,338721423,NA,NA,NA,NA,NA,NA,19671,NA,34584,"Clipped","Beep","","","3D9.1C2D181012","",2010,"6/16/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",83,67,5.84,NA,"",4,"SC","","","Passed","Spawning Grounds","Chiwawa","CHI","CHL","Array Detection","","Hatchery","Spawning Grounds",9974,"Spring",19581,"Spring","Spring",0,"yes",8603,NA,33872,"Present","Beep",NA,"","3D9.1748CC2BD2","",2006,"7/6/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,62,4.46,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,8565,"Spring","Spring",51,"yes",7439,NA,33872,"Present","Beep",NA,"","3D9.1748D067BC","",2006,"6/27/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",72,57,4.12,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,7409,"Spring","Spring",48,"yes",2,2,"339250051 339250011 339250034 339250006","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
345840170,338720229,338721166,NA,NA,NA,NA,NA,NA,19675,NA,34584,"Clipped","Beep","","","3D9.1C2D2E6F06","",2010,"6/16/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",77,62,4.62,NA,"",4,"SC","","","Passed","Spawning Grounds","Chiwawa","CHI","CHU","Array Detection","","Hatchery","Spawning Grounds",9978,"Spring",19585,"Spring","Spring",0,"yes",8346,NA,33872,"Present","Beep",NA,"","3D9.1748D926EF","",2006,"7/4/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",79,64,5.22,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,8311,"Spring","Spring",20,"yes",7410,NA,33872,"Present","Beep",NA,"","3D9.1748D0DF7B","",2006,"6/27/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",84,67,5.54,NA,"",4,"SC","","PRESENT @ HATCHERY","Collected","Broodstock","","","TUM","Collected at Tumwater Dam (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,7380,"Spring","Spring",40,"yes",2,2,"339250026 339250060 339250017 339250039","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
345840171,338720258,338721423,NA,NA,NA,NA,NA,NA,19676,NA,34584,"Clipped","Beep","","","3D9.1C2D343BE5","",2010,"6/16/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",81,66,5.76,NA,"",4,"SC","","","Passed","Spawning Grounds","Nason","NAS","NAL","Array Detection","","Hatchery","Spawning Grounds",9979,"Spring",19586,"Spring","Spring",0,"yes",8603,NA,33872,"Present","Beep",NA,"","3D9.1748CC2BD2","",2006,"7/6/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,62,4.46,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,8565,"Spring","Spring",51,"yes",7439,NA,33872,"Present","Beep",NA,"","3D9.1748D067BC","",2006,"6/27/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",72,57,4.12,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,7409,"Spring","Spring",48,"yes",2,2,"339250051 339250011 339250034 339250006","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
345840173,338720258,338721423,NA,NA,NA,NA,NA,NA,19678,NA,34584,"Clipped","Beep","","","3D9.1BF1CF4A13","",2010,"6/16/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",77,61,4.96,NA,"",4,"SC","","","Passed","Spawning Grounds","Chiwawa","CHI","CHL","Array Detection","","Hatchery","Spawning Grounds",9981,"Spring",19588,"Spring","Spring",0,"yes",8603,NA,33872,"Present","Beep",NA,"","3D9.1748CC2BD2","",2006,"7/6/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",76,62,4.46,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,8565,"Spring","Spring",51,"yes",7439,NA,33872,"Present","Beep",NA,"","3D9.1748D067BC","",2006,"6/27/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",72,57,4.12,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,7409,"Spring","Spring",48,"yes",2,2,"339250051 339250011 339250034 339250006","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
345840180,338720745,338721942,NA,NA,NA,NA,NA,NA,19685,NA,34584,"Clipped","Beep","","","3D9.1C2D1F89E7","",2010,"6/17/10","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",85,67,6.26,NA,"",4,"SC","","","Passed","Spawning Grounds","","","","","","Hatchery","Spawning Grounds",9988,"Spring",19595,"Spring","Spring",0,"yes",9122,NA,33872,"Present","Beep",NA,"","3D9.1748D0D8E1","",2006,"7/12/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Female","Female",84,68,5.48,NA,"",4,"SC","","PRESENT @ HATCHERY","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,9077,"Spring","Spring",54,"yes",7926,NA,33872,"Present","Beep",NA,"","3D9.1748D03516","",2006,"7/2/06","WEN-TUM","Chinook","FD","Spring","DN","Hatchery","SC","Male","Male",69,56,2.92,NA,"",4,"SC","","PRESENT @ HATCHERY, Sex Corrected By Broodstock","Passed","Broodstock","Chiwawa","CHI","CHI-W","Collected at Chiwawa Weir (Spawn level: Complete)","","Hatchery","Broodstock",NA,NA,7894,"Spring","Spring",56,"yes",2,2,"339250051 339250011 339250034 339250006","none","none","none","Hatchery Hatchery Hatchery Hatchery","unknown","unknown","unknown",4,0,0,4,0,0
